Username,comment,sentimen,label_int,skor,alasan
"amar,Azam💜💜","tanpa guru,dia egk bakalan jadi mentri",negative,0,-1.0,neg=['[tanpa guru]'] pos=[] emoji=0.0
adi khann,"pandai nya lidah mu memutar balik kata, 😂😂😂",negative,0,-2.75,"neg=['[memutar balik]', '[balik kata]'] pos=['pandai'] emoji=-1.5"
Sutino Tino,ati 2 ngomong bu apa dulu ngak sekola bu,neutral,1,0.0,(tidak ada sinyal sentimen)
lis,giliran kita yang pura² gak denger 😂,negative,0,-0.25,neg=[] pos=[] emoji=-0.5
Noa,DPR gaji 3 jt per hari,neutral,1,0.0,(tidak ada sinyal sentimen)
Ali chaudry,Ai wkwkw di salah gunakan yh gini sama konohaa maklum lah😹😹,negative,0,-0.5,neg=[] pos=[] emoji=-1.0
MULAIDARI.COM,"tapi kayak AI sih memang yg pertama nada bicara sama ekspresi pas diakhir agak senyum terus mata kedip dikit, senyumnya juga senyum yg ga human",neutral,1,0.0,(tidak ada sinyal sentimen)
SevvA..,di bayar berapa min😹😹😹,negative,0,-2.75,neg=['[bayar berapa]'] pos=[] emoji=-1.5
BANG HAP,"hadehh bahaya ni mimin mulai bisa di sogok juga,🙄",negative,0,-4.25,"neg=['bahaya', 'sogok', '[di sogok]'] pos=[] emoji=-0.5"
응,sama aja intinya sri,negative,0,-1.0,neg=['[sama saja]'] pos=[] emoji=0.0
Ghufron,"ibu waktu masih disekolah yang ngajar,patung garuda😂",negative,0,-0.25,neg=[] pos=[] emoji=-0.5
PruRichs,"bukan beban bu, tolong diralat, guru itu tanggung jawab negara bu",positive,2,2.0,"neg=[] pos=['beban(neg)', '[tanggung jawab negara]'] emoji=0.0"
sandyvitra,"klo apa"" alasannya AI entah benar atau tidak. ya semua aja AI dijadikan Alasan. yang klarifikasi itu AI apa bukan? Eko, uya kuya, sahroni klarifikasi itu AI atau bukan?",neutral,1,0.0,(tidak ada sinyal sentimen)
GURU BESAR YOHANES,benar ucapan ibu sri mulyani🙏🙏 kan guru pahlawan tanpa tanda jasa harus nya berbagi ilmu dengan ikhlas,positive,2,10.0,"neg=[] pos=['pahlawan', 'ikhlas', '[guru pahlawan]', '[pahlawan tanpa tanda jasa]', '[tanpa tanda jasa]'] emoji=2.0"
~4Piinn,kalo guru beban negara kenapa para dpr dulu nya sekolah kocak,negative,0,-3.0,"neg=['beban', '[beban negara]'] pos=[] emoji=0.0"
Kiw.kiw.💀,Saya fikir bu sri ini pintar dan bijaksana.,positive,2,3.0,"neg=[] pos=['pintar', 'bijaksana'] emoji=0.0"
junior robert,Gue habis wd 𝟏𝟒𝐣𝐭 𝐛𝐢𝐥𝐞𝐤,neutral,1,0.0,(tidak ada sinyal sentimen)
Nhà Zenn🇻🇳,ingat bre di jepang gaji guru lebih diutamakan dari pada presiden,neutral,1,0.0,(tidak ada sinyal sentimen)
Whimsically_,bukan hewan langka tapi tetap saja di lindungi,neutral,1,0.0,(tidak ada sinyal sentimen)
gavinnn,di bayar berapa ? 😹😂😂,negative,0,-2.75,neg=['[bayar berapa]'] pos=[] emoji=-1.5
TukangSpillProduk,herannya guru² jg byk yg percaya pas itu sampai bikin vt segala macam🤣,negative,0,-0.25,neg=[] pos=[] emoji=-0.5
ghni.,ai sangat bahaya!!!!,negative,0,-1.0,neg=['bahaya'] pos=[] emoji=0.0
Rzzboyyy🦸‍♂️,"dikira dia kita anak tk apa?
mudah di tipu",negative,0,-1.0,neg=['tipu'] pos=[] emoji=0.0
Aurora,"""apakah gaji guru harus di tanggung negara atau ada partisipasi masyarakat""
ini udah nganggep kalo nge gaji guru, ga perlu pemerintah",neutral,1,0.0,(tidak ada sinyal sentimen)
love Me,kok banyak banget akun centang biru post tentang Sri Mulyani hoak,neutral,1,0.0,(tidak ada sinyal sentimen)
xiexiee,usut polisi siapa yg edit vidionya,neutral,1,0.0,(tidak ada sinyal sentimen)
Ong Wahyudi,mogok mengajar selama 1 thn penuh biar kt lihat seperti apa dampak nya,neutral,1,0.0,(tidak ada sinyal sentimen)
🐜,"Guru harus mampu memfilter berita yang bertebaran di SOSMED, ketidak mampuan untuk bertabayyun dalam merespon segala hal di sosmed mnjdi crminan guru di indonesia.skedar mengingatkan di era digital teknologi AI sngatlah sulit di bendung untk dipergunakan,seorg maupun seklompok org,bgaimna cara mmbedakan mna audio visual yg real mnaa yg tdak? hanya seorang editor yang tau.sdkit saran jika kita semua tak mampu membedakn produk visual AI,maka silahkan bertabayyun cek sumber maka kebenaran akan di temukan",neutral,1,0.0,(tidak ada sinyal sentimen)
Nadhera,"dari awal juga saya tidak percaya Bu Mentri bilang guru beban negara...ga mungkin lah Bu Sri Mulyani seperti itu....sy dari awal ini AI ......karna musuh musuh Bu Mentri ini para pengusaha hitam yg TDK mau byar pajak...para pejabat korup juga tidak suka ke Bu Sri Mulyani ini....KRNA pajak orang"" kaya itu trus naik.....KRNA Bu Sri Mulyani ini sangat sayang kpda rakyat kecil....jadi BNR BNR sama Bu Mentri ini yg di sikat itu golongan rakyat menengah ke atas",negative,0,-4.0,"neg=['beban', 'korupsi', '[beban negara]'] pos=['sayang'] emoji=0.0"
Yohanes Anak Pondok,ai ini mah🤣,negative,0,-0.25,neg=[] pos=[] emoji=-0.5
bcajdhd,"Plis kyat rakyat itu ai anjr kek iya sri mulyani emg salah tpi bisa bedain ai gasih,dri cara ngomong beban negara aja itu usah keciri ai",negative,0,-3.0,"neg=['beban', '[beban negara]'] pos=[] emoji=0.0"
will,bro itu keliatan frame nya,neutral,1,0.0,(tidak ada sinyal sentimen)
Cakra Siswo Wibowo,Perburuan utama adalah mencari yg edit video ini ... Ibu Sri Mulyani tidak mengucapkan ucapan itu... sekarang netizen juga harus adil.... ketika Ibu Sri Mulyani terpuruk akibat video editan ini... sekarang tugasnya netizen juga untuk memperbaiki nama Ibu Sri Mulyani... dengan cara buru dan temukan pelaku yang mengedit video ini...,neutral,1,0.0,(tidak ada sinyal sentimen)
Petta-nya Nahla,kesimpulannya sama saja 😂😁,negative,0,-1.5,neg=['[sama saja]'] pos=[] emoji=-1.0
MBUT,Sri Mulyani anj,negative,0,-2.0,neg=['anj'] pos=[] emoji=0.0
Novi 🐢🐻🦄🐶,"t-api bu. uang negarakan emang partisipasi masyarakat, lewat pajak",neutral,1,0.0,(tidak ada sinyal sentimen)
Manihuruk mrgana,indonesia kita bisa berantakan.karena info info HOAKS.udah puas kh anda dgn lengsernya ibu Sri muliayani.ingat tuhan maha adil.ingat karma 7 keturunan.,negative,0,-1.0,neg=['berantakan'] pos=[] emoji=0.0
Nocturno,periksa sri mulyani,neutral,1,0.0,(tidak ada sinyal sentimen)
Ozckye khanaya,Terus dgn katanya yg asli itu Bu sri ucap bgni Banyak dimedia sosial sya sllu mengatakan o menjadi dosen atau menjadi guru TDK dihargai karena gajinya nggk besar ini jg salah satu tantang bagi keuangan negara apakah semuanya harus keuangan negara ataukah ada partisipasi dari masyarakat ??? Maksudnya ini gimana maksudnya ibaratnya ingin masyarakat berpartisipasi dalam andil gaji guru jg atau gimana karena ada kata2 apakah semuanya harus keuangan negara 🫣🫣🫣,neutral,1,0.0,(tidak ada sinyal sentimen)
hardanpurba,perhatikan dengan jeli..dari gerak mulut nya saja kelihatan sedikit kakuh perhatikan kulit wajah bagian sekitar bibir tidak natural elastis spti gerak manusia PD umumnya..udh jelas ini AI..,neutral,1,0.0,(tidak ada sinyal sentimen)
sweetsa.22,"tantangan bagi keuangan negara, lantas gaji dpr?",neutral,1,0.0,(tidak ada sinyal sentimen)
Ferdi Dinand,benar..secara pribadi sih sy tidak yakin orang sprti Sri Mulyani mengatakan hal seprti itu,neutral,1,0.0,(tidak ada sinyal sentimen)
SCofilhm,WADUH DI BAYAR BRAPA BG???,negative,0,-2.0,neg=['[bayar berapa]'] pos=[] emoji=0.0
抖音中国,ini sudah terbukti tangkap Sri Mulyani segera,neutral,1,0.0,(tidak ada sinyal sentimen)
Aku bukan dirimu👉,"gaji sri mulyani juga jadi beban negara,apa harus keuangan negara🤣",negative,0,-3.25,"neg=['beban', '[beban negara]'] pos=[] emoji=-0.5"
LIBER LSM,"kita bisa lht yg pertama percakapanx berbeda alias dari mulutx,,berbeda dari yg kedua",neutral,1,0.0,(tidak ada sinyal sentimen)
Cahya12,Kasian Bu Sri Mulyani 🥺 gara2 editan Ai dan orng yg edit ibu jd di Bully masyarakat yg gak tau cari dlu kebenaran nya hiks,positive,2,1.5,neg=[] pos=['kasian'] emoji=1.0
rifkasiregar378,"sma ajapun kalimatnya aja yg diganti, tujuannya tetap sma bilang guru adalah beban😅😅😅",negative,0,-2.75,"neg=['beban', '[tetap sama]'] pos=[] emoji=-1.5"
25 September,ibu ini seblm menjadi menteri ke uangn di itu pernah jdi guru di ngajar di sekolah Lampung dia pernah mengajar sebagai guru mengajar adik bapak Saya,neutral,1,0.0,(tidak ada sinyal sentimen)
g.gustii,ai merusak ke amanan negara,negative,0,-1.0,neg=['merusak'] pos=[] emoji=0.0
rafi,maknanya sama aja,negative,0,-2.0,"neg=['[sama saja]', '[maknanya sama]'] pos=[] emoji=0.0"
u pateun 🥥,Sri Mulyani,neutral,1,0.0,(tidak ada sinyal sentimen)
",,azam",Sri Mulyani Mentri terbaik,positive,2,2.0,neg=[] pos=['terbaik'] emoji=0.0
👾,karep mu sri sri,neutral,1,0.0,(tidak ada sinyal sentimen)
Siva Via,"yg ngedit itu di bayar.... gk mungkin seorang ibu Sri mulyani, bicara sembaranggan....",neutral,1,0.0,(tidak ada sinyal sentimen)
Novv_store,kasihan bngt ibu Sri Mulyani yg sudah terbukti kecerdasannya,positive,2,1.0,neg=[] pos=['kasihan'] emoji=0.0
Eksaaaaaaaaaaaaa,suruh sri mulyani saja nanti yg ajarkan anak anak di Indonesia. kenapa orang ini masih di pertahankan...??? Jawa Jawa teruuuuussssss....!!!,neutral,1,0.0,(tidak ada sinyal sentimen)
Idih kepoV3,Mulyono 😁,negative,0,-0.25,neg=[] pos=[] emoji=-0.5
penjahat.nya 🚀,apa sih,neutral,1,0.0,(tidak ada sinyal sentimen)
GUE PERSIJA,wow keren anda Sri,positive,2,1.0,neg=[] pos=['keren'] emoji=0.0
sn ad disini,kira kita percaya 😊,positive,2,0.5,neg=[] pos=[] emoji=1.0
Meovv12,yang pertama ai,neutral,1,0.0,(tidak ada sinyal sentimen)
🅿️utra,kebalik gasih??🗿,negative,0,-0.25,neg=[] pos=[] emoji=-0.5
niee,sama aja cuma beda pengucapan,negative,0,-3.0,"neg=['[sama saja]', '[beda pengucapan]', '[cuma beda]'] pos=[] emoji=0.0"
aisyah isah,"kau satu lagi,,,jdi gaji mu itu gk beban negara",negative,0,-1.0,neg=['[beban negara]'] pos=['beban(neg)'] emoji=0.0
RF,biarin aj bg biar seneng 🤣,negative,0,-0.25,neg=[] pos=[] emoji=-0.5
wong pelosok,"video asli, artinya sama aja dg video AI. dia ngeluh gaji guru minta partisipasi masyarakat, tapi g ngeluh gaji DPR yg jelas2 beban negara",negative,0,-5.0,"neg=['beban', '[beban negara]', '[sama saja]', '[artinya sama]'] pos=[] emoji=0.0"
Muhammad,min di bayar berapa,negative,0,-2.0,neg=['[bayar berapa]'] pos=[] emoji=0.0
Penghuni Tanah,Ternyata cara kerja AI kaya gitu yaa,neutral,1,0.0,(tidak ada sinyal sentimen)
🌟rahesa😵‍💫,oh berarti dia ga belajar pantesan 😒🤣🤣,negative,0,-0.75,neg=[] pos=[] emoji=-1.5
𝘿𝙖𝙣𝙣.,"ini asli ya yang dia bilang ""guru itu beban negara"" itu AI",negative,0,-3.0,"neg=['beban', '[beban negara]'] pos=[] emoji=0.0"
khayrul kepleset,ai=asli itu,neutral,1,0.0,(tidak ada sinyal sentimen)
_FizxG,Jadi dia di ajarin nya dulu sama suapa anj,negative,0,-2.0,neg=['anj'] pos=[] emoji=0.0
Yuyu Yoyo,gimana negara mau maju ngomongnya gini😁,negative,0,-0.25,neg=[] pos=[] emoji=-0.5
Rio Afandi,udh di pecat guyss😭😭,negative,0,-1.0,neg=['pecat'] pos=[] emoji=0.0
Riski🚀💢,min bagi uang nya yang hasil sisri Mulyadi 😁,negative,0,-0.25,neg=[] pos=[] emoji=-0.5
Bryan23407,mikrofonnya beda min,neutral,1,0.0,(tidak ada sinyal sentimen)
ñ,Ai makin bahaya,negative,0,-1.0,neg=['bahaya'] pos=[] emoji=0.0
Isti Yasni,"mski sya guru yg GK pintar tapi dari prtma ada isu ini sya sama sekali GK prcya, sya LBH percaya dg ibu Sri, ibu Sri buat sya menkeu terbaik",positive,2,3.0,"neg=['pintar(neg)'] pos=['terbaik', '[menkeu terbaik]'] emoji=0.0"
Lilik Auliasary22,ambil fositipnya beban negara itu mksutnya guru itu tanggung jawab negara,negative,0,-2.0,"neg=['beban', '[beban negara]'] pos=['[tanggung jawab negara]'] emoji=0.0"
milamilomila2,kenapa baru di share skrg?,neutral,1,0.0,(tidak ada sinyal sentimen)
Muhamad Yusuf,Ada istilah/bahasa keuangan yg kurang dipahami orang awam.,neutral,1,0.0,(tidak ada sinyal sentimen)
Shandy Bintang,orang baik selalu di singkirkan 😳,positive,2,2.0,"neg=[] pos=['baik', '[orang baik]'] emoji=0.0"
gekotourguidebali,tangkap aja yang mengedit vidio,neutral,1,0.0,(tidak ada sinyal sentimen)
gonjolff,bisa gitu ya ia mirip bangett😳😳,neutral,1,0.0,(tidak ada sinyal sentimen)
Albii,guru adalah pahlawan tanpa jasa,positive,2,2.0,neg=[] pos=['pahlawan'] emoji=0.0
Jo@333,Kalau ga ada guru ga bakalan mulyani pinter muterin duit😂,positive,2,0.75,neg=[] pos=['pinter'] emoji=-0.5
cherellynnatha,di bayar brapa?,negative,0,-2.0,neg=['[bayar berapa]'] pos=[] emoji=0.0
Arif ken,jujung jah mintak maaf,neutral,1,0.0,(tidak ada sinyal sentimen)
Nendii 씨,Sama bae min 🗿 apanya yg beda,negative,0,-0.25,neg=[] pos=[] emoji=-0.5
adam asyravi,"partisipasi masyarakat adalah dalam bentuk pembayaran pajak.
trus mau partisipasi apalagi..
harusnya partisipasi pemerintah melalui pajak yg sudah kami bYar.
dan tolong partisipasi lebih dri konglomerat.",neutral,1,0.0,(tidak ada sinyal sentimen)
🥷,Gaji guru tantangan kewangan negara namun gaji DPR naik😂😂😂,negative,0,-0.75,neg=[] pos=[] emoji=-1.5
🄼🄰🅂.🅁🄰🅆,itulah bahaya hasil AI ..... #waspada,negative,0,-1.0,neg=['bahaya'] pos=[] emoji=0.0
𝘼𝙣𝙙𝙞𝙞𝟬𝟬𝟮,di bayar berapa min,negative,0,-2.0,neg=['[bayar berapa]'] pos=[] emoji=0.0
f sutomo 07,jaga mulutmu sri mulyani,negative,0,-1.0,neg=['[jaga mulut]'] pos=[] emoji=0.0
someone RMS,TETEP PILIH SRI MULYANI ANJ INDONESIA🥰,negative,0,-1.5,neg=['anj'] pos=[] emoji=1.0
anak desa,"seharusnya guru lah yg paling besar gajinya di bandingkan para orang"" di DPR...",neutral,1,0.0,(tidak ada sinyal sentimen)
웃❤유Tinaammareen유❤웃,tanpa guru sapa lah ibuk...ingat ibuk...dari guru ibuk jd menteri....,negative,0,-1.0,neg=['[tanpa guru]'] pos=[] emoji=0.0
Asep_90an,"kenapa ya lulusan pendidikan di china Korea Jepang pada jago berkarya, kira² diajarin ilmu apaan aja ya oleh guru²nya?",neutral,1,0.0,(tidak ada sinyal sentimen)
Sweetpea,Apa harus semua keuangan negara?!!! Gaji DPR tanggungjawab siapa donk,neutral,1,0.0,(tidak ada sinyal sentimen)
Putra Jaya,Sri Mulyani harus diganti banyak memberi beban pajak ke rakyat,negative,0,-1.0,neg=['beban'] pos=[] emoji=0.0
Arol Razishop,Gerakan mulutnya,neutral,1,0.0,(tidak ada sinyal sentimen)
Dendi Kurniawan,delok disek video asline.. seng fuull... sak iki tehnologi AI wes pinter,positive,2,1.0,neg=[] pos=['pinter'] emoji=0.0
ucuppp,"sabar , kalau dia ngomong guru itu beban negara lantas dulu dia pas sekolah apa nggak sama guru belajar nya",negative,0,-2.0,"neg=['beban', '[beban negara]'] pos=['sabar'] emoji=0.0"
tianyakiki,"AI oh AI,..",neutral,1,0.0,(tidak ada sinyal sentimen)
org,lah klo gk ada guru lu bisa apa hah?,neutral,1,0.0,(tidak ada sinyal sentimen)
meeibt,tapi tetep aja gk sih? like why salary guru terendah? padahl guru yang menyebarkaj pendidikan😭😭😭😭,neutral,1,0.0,(tidak ada sinyal sentimen)
@GUZY•¥OU,itu asli kocak,neutral,1,0.0,(tidak ada sinyal sentimen)
waa,kalo ga ada guru polisi ga akan jadi polisi,neutral,1,0.0,(tidak ada sinyal sentimen)
wandi agusti,dibayar berapa?,negative,0,-2.0,neg=['[bayar berapa]'] pos=[] emoji=0.0
dafflbis 💫,ini vidio terakhir beliau,neutral,1,0.0,(tidak ada sinyal sentimen)
L I Z A,bukan menjaga Indonesia malah merusak Indonesia,negative,0,-1.0,neg=['merusak'] pos=[] emoji=0.0
hantu durian,srimulyani=hama,negative,0,-2.0,neg=['hama'] pos=[] emoji=0.0
Yuyu Yoyo,yang ngomong top orang terpintar mengelola duit 14 dunia ngomongnya gini ibu-ibu🙃,neutral,1,0.0,(tidak ada sinyal sentimen)
🪩,ini yang benar,neutral,1,0.0,(tidak ada sinyal sentimen)
"""wong bode""",kalo dia ngomong guru beban negara berati dia ga sokolah,negative,0,-3.0,"neg=['beban', '[beban negara]'] pos=[] emoji=0.0"
vionzaaa,kalau guru di sebut beban negara mungkin dia lupa tanpa guru tidak ada menteri yng bisa bca angka anggaran,negative,0,-4.0,"neg=['beban', '[beban negara]', '[tanpa guru]'] pos=[] emoji=0.0"
chikaa,mendengar nya pun tak sudii,neutral,1,0.0,(tidak ada sinyal sentimen)
no name21,tenang saudara ku..ada hukum yg adil nanti di akhirat..,neutral,1,0.0,(tidak ada sinyal sentimen)
Bang Saragih,"mulai... mulai....
angel angel",neutral,1,0.0,(tidak ada sinyal sentimen)
Calon dunungan⚡,UANG SEGALANYA 🔥🔥,neutral,1,0.0,(tidak ada sinyal sentimen)
Sahiraww. ✭♊,alahh di bayar berapa lu?,negative,0,-2.0,neg=['[bayar berapa]'] pos=[] emoji=0.0
aldo,mungkin anak Sri Mulyani bukan guru yang ngajar,neutral,1,0.0,(tidak ada sinyal sentimen)
"hyde""of_bh",fiks di suruh Mulyani buat bikin video ini,neutral,1,0.0,(tidak ada sinyal sentimen)
Sari Murni,secara tidak terang2an hasilnya sama 🤣,negative,0,-0.25,neg=[] pos=[] emoji=-0.5
Moy,"y intinya sama, sri mulyani nganggep guru beban negara",negative,0,-4.0,"neg=['beban', '[beban negara]', '[intinya sama]'] pos=[] emoji=0.0"
BASO GEDEE🌻,HAHAHA DI BAYARR,neutral,1,0.0,(tidak ada sinyal sentimen)
️,"""apakah semuanya harus ke uangan negara""
negara aja di kasih uangnya ama rakyat bu🗿",negative,0,-0.25,neg=[] pos=[] emoji=-0.5
Kuntet,statement viral - diedit Ai supaya debat teralihkan di Ai atau asli - statement asli dah terlupakan - sang penyampai bebas hujatan soal statment beliau😂,negative,0,-0.25,neg=[] pos=[] emoji=-0.5
Shinee🥀,Di bayar berapa??,negative,0,-2.0,neg=['[bayar berapa]'] pos=[] emoji=0.0
shelby,vt yang ke2 mah pake AI,neutral,1,0.0,(tidak ada sinyal sentimen)
￴￴￴,waktunya viral ditutup tutupin 😹,negative,0,-0.25,neg=[] pos=[] emoji=-0.5
Keyzzz,wahh di bayar besar ini kaye ny wkwkw,neutral,1,0.0,(tidak ada sinyal sentimen)
Ridwan Ridwan,katanya Tatanggan guru karna ke uang negara padahal uang nya di koropsi negara,neutral,1,0.0,(tidak ada sinyal sentimen)
🧣🕊️,dibayar berapa min😄,negative,0,-2.25,neg=['[bayar berapa]'] pos=[] emoji=-0.5
diki_ajaaaa,gak belajar ta dia,neutral,1,0.0,(tidak ada sinyal sentimen)
Rijまあ,gempa di Bekasi,neutral,1,0.0,(tidak ada sinyal sentimen)
izz,"lohh lohh gimana sih kan kita sebagai rakyat sudah bayar pajak, trs duit pajak tuh di kemanain",neutral,1,0.0,(tidak ada sinyal sentimen)
Been nn,hadeh dibayar brapa sih 😹😹😹,negative,0,-2.75,neg=['[bayar berapa]'] pos=[] emoji=-1.5
ym,"apa yang beban bersyukur k tidak merepotkan ,,menguntungkan masa depan bangsa",neutral,1,0.0,neg=['beban'] pos=['bersyukur'] emoji=0.0
abii🕺🏻,trus yg ngajarin lu di sekolah pas lu kecil itu siapa?,neutral,1,0.0,(tidak ada sinyal sentimen)
ARIL,anjirr di bayar🤣🤣,negative,0,-2.5,neg=['anjirr'] pos=[] emoji=-1.0
Ranzy,sama aja🗿,negative,0,-1.25,neg=['[sama saja]'] pos=[] emoji=-0.5
ynussz,gaji guru perlu partisipasi masyarakat? baru tahu (bertanya dengan nada sopan),neutral,1,0.0,(tidak ada sinyal sentimen)
tiii,gaji DPR turunin nenek biyar guru bisa layak gajinya,neutral,1,0.0,(tidak ada sinyal sentimen)
zarr®,ALASAAAAAANNNN !!,neutral,1,0.0,(tidak ada sinyal sentimen)
TATANG SUHERMAN,"itulah sebabnya masyarakat membentuk organisasi pemerintahan melalui #pemilu adalah untuk memilih merèka yg mau rèvot melayani kebutuhan/kesejahteraan/keselamatan dunia-akhiratnya (masyarakat) dg #aturan begini/begitu yg tertuang dlm PancaSila & UUD'45. Jangan aturan itu dirubah.
Maka bertanggung jawablah siapapun yg merubahnya sehingga #APBN_kedodoran karena kurangnya Simpanan Kekayaan mencukupi keuwa ngan negara. #Votɛnsinya_ada dari SDA bukan dari partisipasi/jumblah masyarakat/rakyat.",neutral,1,0.0,(tidak ada sinyal sentimen)
Ni,kejam bgt ya fitnah dunia,negative,0,-2.0,"neg=['kejam', 'fitnah'] pos=[] emoji=0.0"
edoyansens,"LOGIKA AJA,KLO VIDEO ITU A.I PASTI DAH DR KMRN2 DI TANGKEP ORG YG BUAT A.I NYA + GAK BAKAL DI COPOT JABATANNY 🤔",neutral,1,0.0,(tidak ada sinyal sentimen)
Yusman To,bukti fitnah lebih kejam dr pembunuhan,negative,0,-2.0,"neg=['fitnah', 'kejam'] pos=[] emoji=0.0"
wati,itu suara A.I,neutral,1,0.0,(tidak ada sinyal sentimen)
Gus Nur,sabar bu gak papa difitnah.. yang memftnah itu tandanya iri,positive,2,4.0,"neg=[] pos=['sabar', 'difitnah(neg)', '[sabar bu]'] emoji=0.0"
Theclenoz,Bentuk mulut nya bedaaa..hixx,neutral,1,0.0,(tidak ada sinyal sentimen)
sahrizan,jahat,negative,0,-1.0,neg=['jahat'] pos=[] emoji=0.0
Anto segoro lor,Allah pasti TDK diam,neutral,1,0.0,(tidak ada sinyal sentimen)
....,luar biasa berhasil provokator,negative,0,-1.0,neg=['provokator'] pos=[] emoji=0.0
investigasi03@,itu hoak,neutral,1,0.0,(tidak ada sinyal sentimen)
PutraMahkotaRI,makna ny sama aja itu cuma bermain dikata2,negative,0,-1.0,neg=['[sama saja]'] pos=[] emoji=0.0
Batara88,Srimulyani......omongo sak keselmu....wong awakmu saiki ilang gapitmu....ws omongo....,neutral,1,0.0,(tidak ada sinyal sentimen)
Dedy123,"mau kita bela pun sudah tdk ada artinya lagi...
beliau sudah purnah tugas...🥺",positive,2,1.5,neg=[] pos=['bela'] emoji=1.0
ANDRE,kn uda di pecat,negative,0,-1.0,neg=['pecat'] pos=[] emoji=0.0
St Haryanto,selamat y bu,neutral,1,0.0,(tidak ada sinyal sentimen)
love you,itu ai yg pertama astaga,neutral,1,0.0,(tidak ada sinyal sentimen)
Ryno~,Cari yg buat ~~> Dalang,neutral,1,0.0,(tidak ada sinyal sentimen)
Lely afrianty,selagi mereka yang pegang dpr dan jadi pemimpin Indonesia rakyat kecil akan tetap tertindas.,negative,0,-1.0,neg=['tertindas'] pos=[] emoji=0.0
Lely afrianty,kerjanya ketua dpr,neutral,1,0.0,(tidak ada sinyal sentimen)
user24226090492014,lebih hatihati sekarang. apalagi ad Tek AI sekarang.,neutral,1,0.0,(tidak ada sinyal sentimen)
vanonino637,"sabar ibu Sri Mulyani sgala sesuatu psti ada hikmah nya , smoga ibu Sri Mulyani tabah srta di beri kkuatan dan ksehatan..amin2 ya robal alamin..??",positive,2,3.0,"neg=[] pos=['sabar', 'tabah', 'amin'] emoji=0.0"
musang birahi,"jaman sudah begini, dikit2 fitnah dikit2 terprovokasi😭",negative,0,-1.0,neg=['fitnah'] pos=[] emoji=0.0
ajisfaisal,loh buyang mkn duit ngra,neutral,1,0.0,(tidak ada sinyal sentimen)
